"filename", "language", "XML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\about.js", "JavaScript", 0, 106, 0, 0, 0, 4, 110
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\assets\Discord.svg", "XML", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\assets\Ocean.svg", "XML", 49, 0, 0, 0, 0, 0, 49
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\assets\loading.svg", "XML", 9, 0, 0, 0, 0, 0, 9
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\fullPageTableWrapper.js", "JavaScript", 0, 13, 0, 0, 1, 4, 18
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\index.js", "JavaScript", 0, 5, 0, 0, 0, 1, 6
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\info.js", "JavaScript", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\loader.js", "JavaScript", 0, 24, 0, 0, 0, 3, 27
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\moeStars.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\pagination.js", "JavaScript", 0, 98, 0, 0, 5, 11, 114
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\tableComponents.js", "JavaScript", 0, 90, 0, 0, 1, 7, 98
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\components\tableFilters.js", "JavaScript", 0, 212, 0, 0, 0, 19, 231
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\context\index.js", "JavaScript", 0, 14, 0, 0, 0, 2, 16
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\context\searchHistory.js", "JavaScript", 0, 41, 0, 0, 1, 9, 51
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\context\server.js", "JavaScript", 0, 21, 0, 0, 0, 6, 27
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\context\theme.js", "JavaScript", 0, 22, 0, 0, 1, 7, 30
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\css\body.css", "CSS", 0, 0, 46, 0, 8, 12, 66
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\css\innerpage.css", "CSS", 0, 0, 29, 0, 0, 5, 34
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\css\search.css", "CSS", 0, 0, 35, 0, 0, 5, 40
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\css\statspage.css", "CSS", 0, 0, 59, 0, 4, 5, 68
"c:\Users\Yacht 2\Desktop\reactjs\tomato.gg\src\css\style.css", "CSS", 0, 0, 29, 0, 2, 7, 38
